alpha_factor,alpha_used,MAE_m,RMSE_m
0.5,0.005,21.2149,23.5535
0.7,0.007,12.4041,13.9157
0.8,0.008,8.0125,9.0836
0.9,0.009,3.7389,4.3102
1.0,0.01,0.4821,0.6953
1.1,0.011,3.0287,3.5377
1.2,0.012,5.5311,6.4025
1.5,0.015,11.077,12.7546
2.0,0.02,16.6233,19.1192
