snr_bin_db,n,MAE_exp_m,MAE_inv_m
5-8,69,0.8831,10.0588
8-11,48,0.589,10.9317
11-14,58,0.4012,8.9263
14-17,59,0.2716,9.5598
17-20,66,0.2447,10.2258
